ti,tf,S_MR,S_MO,T,Archivo,I,P,Tp,tp,Ip
422,423,0.3577000000000083,0.0,2,0,0,0,0,-1,0.0
508,508,0.1192000000000064,0.0,1,0,0,0,0,-1,0.0
569,570,0.417199999999994,0.0,2,0,0,0,0,-1,0.0
600,600,0.1191999999999922,0.0,1,0,0,0,0,-1,0.0
626,628,0.7153000000000134,-1.614857999999998,3,0,0,0,0,-1,0.0
630,630,0.1787999999999954,0.0,1,0,0,1,49,2,1.4305000000000092
644,645,0.357600000000005,0.0,2,0,0,0,0,-1,0.0
649,649,0.1191999999999922,0.0,1,0,0,1,7,3,0.11920000000000641
680,682,1.0131999999999977,-4.632227999999998,3,0,0,0,0,-1,0.0
690,690,0.1192000000000064,0.0,1,0,0,0,0,-1,0.0
700,703,3.159099999999995,-5.113914999999999,4,0,0,1,9,0,0.1787999999999954
743,744,0.2385000000000019,0.0,2,0,0,0,0,-1,0.0
758,758,0.1192999999999955,0.0,1,0,0,0,0,-1,0.0
760,763,5.423999999999992,-3.5162499999999994,4,0,0,1,7,1,0.059600000000003206
769,770,0.4768000000000114,-1.7656919999999945,2,0,0,0,0,-1,0.0
788,788,0.1192000000000064,0.0,1,0,0,0,0,-1,0.0
791,796,6.675700000000006,-8.31212200000001,6,0,0,1,12,0,0.11920000000000641
816,818,0.5363999999999862,0.0,3,0,0,0,0,-1,0.0
856,856,0.1787999999999954,0.0,1,0,0,0,0,-1,0.0
862,864,1.6689000000000078,0.0,3,0,0,1,33,2,0.2383999999999986
874,877,3.755099999999999,-8.746714999999995,4,0,0,0,0,-1,0.0
884,884,0.1191999999999922,0.0,1,0,0,0,0,-1,0.0
893,897,3.2186999999999983,-5.565204999999992,5,0,0,1,6,0,0.0
914,917,3.5759000000000043,-4.1414549999999934,4,0,0,1,8,0,0.417199999999994
944,944,0.1189999999999997,0.0,1,0,0,0,0,-1,0.0
950,953,2.562999999999988,-7.524270999999999,4,0,0,0,0,-1,0.0
979,981,0.5960000000000036,0.0,3,0,0,0,0,-1,0.0
1005,1006,0.5960000000000036,-1.7565150000000074,2,0,0,1,1,0,0.0
1008,1012,6.497,-12.402777000000016,5,0,0,1,1,3,0.0
1019,1020,0.5960000000000036,0.0,2,0,0,0,0,-1,0.0
1026,1028,1.668999999999997,-4.186899000000011,3,0,0,0,0,-1,0.0
1034,1035,0.2980000000000018,0.0,2,0,0,0,0,-1,0.0
1050,1051,0.4170000000000016,0.0,2,0,0,1,7,0,0.0589999999999975
1058,1058,0.2979999999999876,0.0,1,0,0,0,0,-1,0.0
1114,1114,0.1189999999999997,-1.340358000000009,1,0,0,0,0,-1,0.0
1127,1128,0.5960000000000036,-1.6083559999999864,2,0,0,1,16,0,0.0
1165,1165,0.1189999999999997,0.0,1,0,0,0,0,-1,0.0
1197,1199,3.158999999999992,-7.459446999999983,3,0,0,1,11,0,0.0
1204,1206,1.0730000000000075,-2.119823999999994,3,0,0,0,0,-1,0.0
1222,1226,1.6099999999999994,-2.82659799999999,5,0,0,1,6,0,0.0
1269,1269,0.1189999999999997,0.0,1,0,0,0,0,-1,0.0
1275,1275,0.1189999999999997,0.0,1,0,0,1,35,4,0.0
1278,1279,0.7149999999999892,0.0,2,0,0,0,0,-1,0.0
1305,1307,1.967000000000013,-6.041122999999999,3,0,0,1,15,1,0.3579999999999899
1338,1339,0.2980000000000018,0.0,2,0,0,0,0,-1,0.0
1376,1377,0.2980000000000018,0.0,2,0,0,0,0,-1,0.0
1380,1382,0.5360000000000014,0.0,3,0,0,1,30,2,0.2979999999999876
1453,1455,1.7279999999999944,-3.4830080000000123,3,0,0,1,4,0,0.0
1518,1518,0.1189999999999997,0.0,1,0,0,0,0,-1,0.0
164,164,0.1191999999999993,0.0,1,1,0,0,0,-1,0.0
