ti,tf,S_MR,S_MO,T,Archivo,I,P,Tp,tp,Ip
152,152,0.1844000000000001,0.0,1,0,0,0,0,-1,0.0
215,215,0.2123999999999988,0.0,1,0,0,0,0,-1,0.0
496,505,15.487990000000002,0.16924179040820858,10,0,0,1,26,0,0.0
513,516,2.5313600000000003,0.0379949189325206,4,0,0,0,0,-1,0.0
518,519,0.6761400000000002,0.0,2,0,0,0,0,-1,0.0
521,522,0.5457599999999996,0.0,2,0,0,0,0,-1,0.0
558,558,0.1844200000000002,0.0,1,0,0,0,0,-1,0.0
565,567,2.03029,0.0165620884313199,3,0,0,1,11,3,0.0
579,584,25.44946,0.3472287559150366,6,0,0,1,2,0,0.04469999999999885
617,619,1.1845999999999997,0.0275419884138025,3,0,0,1,3,0,0.0
652,653,0.5252999999999979,0.0,2,0,0,0,0,-1,0.0
656,656,0.2197999999999993,0.0,1,0,0,1,6,3,0.0
658,658,0.2571000000000012,0.0,1,0,0,0,0,-1,0.0
680,682,0.9108000000000018,0.0115765879603227,3,0,0,1,8,1,0.14720000000000155
762,763,0.7431999999999945,0.0210424291055604,2,0,0,2,7,4,0.0
792,792,0.2439999999999997,0.0,1,0,0,0,0,-1,0.0
836,837,0.4749999999999943,0.0095277883986553,2,0,0,0,0,-1,0.0
894,896,0.9760999999999952,0.0,3,0,0,0,0,-1,0.0
64,64,0.2103999999999999,0.0,1,1,0,0,0,-1,0.0
87,87,0.2217000000000002,0.0,1,1,0,0,0,-1,0.0
349,349,0.2570000000000014,0.0,1,1,0,0,0,-1,0.0
410,410,0.3521000000000001,0.0,1,1,0,0,0,-1,0.0
421,425,3.5708,0.0241198107229794,5,1,0,1,3,0,0.09309999999999974
470,475,8.85693,0.081464968997084,6,1,0,0,0,-1,0.0
509,509,0.2197999999999993,0.0,1,1,0,0,0,-1,0.0
540,542,2.6281900000000005,0.0378423750144608,3,1,0,1,16,0,0.0
545,545,0.3744,0.0,1,1,0,0,0,-1,0.0
554,558,3.12926,0.0491828097770896,5,1,0,0,0,-1,0.0
586,591,12.775957,0.1224479751448756,6,1,0,0,0,-1,0.0
593,596,4.759099999999998,0.0404383449266487,4,1,0,0,0,-1,0.0
609,610,0.7450999999999972,0.0,2,1,0,1,2,0,0.0
667,668,0.4191000000000002,0.0,2,1,0,1,5,4,0.0
671,677,14.0147,0.222653426816766,7,1,0,0,0,-1,0.0
766,766,0.2439999999999997,0.0,1,1,0,0,0,-1,0.0
974,975,0.5792000000000002,0.0,2,1,0,0,0,-1,0.0
291,291,0.2272399999999983,0.0,1,2,0,0,0,-1,0.0
405,405,0.2124000000000006,0.0,1,2,0,0,0,-1,0.0
441,441,0.2196999999999995,0.0,1,2,0,0,0,-1,0.0
457,462,11.000857,0.1276728382640367,6,2,0,0,0,-1,0.0
464,466,0.936917,0.010516584887354,3,2,0,0,0,-1,0.0
555,559,5.19494,0.0552956639968092,5,2,0,1,26,0,0.0
562,568,31.6764,0.4510653206474758,7,2,0,0,0,-1,0.0
650,650,0.1843999999999965,0.0,1,2,0,0,0,-1,0.0
652,652,0.2683000000000035,0.0,1,2,0,1,16,0,0.0
656,658,1.072899999999997,0.0144771902713501,3,2,0,1,16,4,0.0
709,711,0.724499999999999,0.0260796586702409,3,2,0,0,0,-1,0.0
761,761,0.2515,0.0,1,2,0,0,0,-1,0.0
820,820,0.2254000000000005,0.0,1,2,0,1,42,2,0.0
845,846,0.8214000000000041,0.0,2,2,0,1,7,4,0.0
867,867,0.2644999999999982,0.0,1,2,0,0,0,-1,0.0
884,885,0.5717999999999961,0.0,2,2,0,1,7,0,0.23280000000000456
948,948,0.2589000000000041,0.0,1,2,0,0,0,-1,0.0
283,283,0.2235100000000001,0.0,1,3,0,0,0,-1,0.0
301,302,0.5047800000000002,0.0,2,3,0,0,0,-1,0.0
435,436,0.8325999999999993,0.0,2,3,0,0,0,-1,0.0
475,476,0.605360000000001,0.0099655548792591,2,3,0,0,0,-1,0.0
491,496,15.677969999999998,0.1630293438403763,6,3,0,0,0,-1,0.0
511,512,0.6500700000000004,0.0,2,3,0,1,6,0,0.07820000000000071
518,518,0.2514500000000002,0.0,1,3,0,0,0,-1,0.0
530,532,2.1308700000000007,0.0320529308735912,3,3,0,1,6,0,0.0
535,535,0.2998799999999999,0.0,1,3,0,0,0,-1,0.0
540,543,2.0619,0.0148737674647405,4,3,0,0,0,-1,0.0
564,564,0.2589000000000006,0.0105306352652312,1,3,0,0,0,-1,0.0
573,578,21.9682,0.3108231616293589,6,3,0,0,0,-1,0.0
612,615,2.3785999999999987,0.0572946761641081,4,3,0,0,0,-1,0.0
630,630,0.2346999999999965,0.0,1,3,0,0,0,-1,0.0
638,638,0.2179999999999964,0.0,1,3,0,0,0,-1,0.0
704,706,1.4397999999999982,0.0242512989259819,3,3,0,0,0,-1,0.0
750,750,0.2048999999999949,0.0,1,3,0,0,0,-1,0.0
758,758,0.2533000000000029,0.0,1,3,0,0,0,-1,0.0
870,870,0.2254000000000005,0.0,1,3,0,0,0,-1,0.0
328,328,0.3240999999999978,0.0,1,4,0,0,0,-1,0.0
391,391,0.333400000000001,0.0,1,4,0,0,0,-1,0.0
422,422,0.2999000000000009,0.0,1,4,0,0,0,-1,0.0
473,476,2.825599999999998,0.0550932183588068,4,4,0,0,0,-1,0.0
488,495,29.05,0.2726564325474952,8,4,0,1,1,0,0.0
497,497,0.2532999999999994,0.0,1,4,0,0,0,-1,0.0
517,519,1.4025999999999996,0.0161205264858422,3,4,0,1,10,2,0.0
538,538,0.2719000000000005,0.0,1,4,0,0,0,-1,0.0
579,582,2.5146999999999995,0.0383919777206108,4,4,0,1,14,3,0.5159999999999982
645,645,0.1956000000000024,0.0,1,4,0,0,0,-1,0.0
681,682,0.5998000000000019,0.0095921668852345,2,4,0,1,11,0,0.2980000000000018
693,699,10.7811,0.1861998425864125,7,4,0,1,1,0,0.0
757,757,0.2272999999999996,0.0,1,4,0,0,0,-1,0.0
777,777,0.2029999999999958,0.0,1,4,0,1,6,0,0.0
809,809,0.2402999999999977,0.0,1,4,0,0,0,-1,0.0
815,815,0.298099999999998,0.0,1,4,0,1,15,4,0.0
