DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
63,63,63,63,63,281,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,74,74,74,74,74,74,74,74,74,74,74,74,74,74,139,21,0,0,0,0,0,0,0,0
281,281,281,281,281,8,2,2,2,2,2,2,2,2,2,2,49,49,49,49,49,49,49,49,63,63,45,45,45,111,111,111,111,111,111,111,80,80,80,77,21,82,0,0,0,0,0,0,0,0
8,8,8,8,8,2,2,2,2,2,2,2,2,2,46,46,12,12,12,12,12,12,12,12,45,45,79,79,111,2,2,80,80,80,80,80,100,100,77,58,82,101,0,0,0,0,0,0,0,0
2,2,2,2,2,2,43,43,43,43,43,43,43,43,12,12,33,33,33,33,45,45,45,45,65,65,28,28,2,75,75,93,100,100,100,100,77,77,189,107,150,199,0,0,0,0,0,0,0,0
2,2,2,2,2,43,12,12,12,12,12,12,12,12,33,33,61,61,45,45,65,65,65,65,12,12,2,2,75,93,93,3,77,77,77,77,198,189,58,139,144,127,0,0,0,0,0,0,0,0
36,36,36,36,36,12,33,33,33,33,33,33,33,33,61,61,212,212,65,65,12,12,12,12,28,28,75,75,93,3,3,77,198,198,198,198,189,58,79,224,101,0,0,0,0,0,0,0,0,0
7,7,7,7,7,33,33,33,33,33,33,33,33,33,80,80,45,45,12,12,28,28,28,28,2,2,93,93,3,77,77,198,139,139,139,139,58,79,107,21,199,0,0,0,0,0,0,0,0,0
12,12,12,12,12,33,3,5,27,27,27,27,27,27,131,131,65,65,28,28,2,2,2,2,75,75,3,3,77,198,198,139,46,46,46,46,79,94,139,82,127,0,0,0,0,0,0,0,0,0
33,33,33,33,33,3,2,22,80,80,80,80,80,80,45,45,12,12,2,2,75,75,75,75,93,93,77,77,198,139,139,46,48,48,48,58,99,165,228,81,89,0,0,0,0,0,0,0,0,0
33,33,33,33,33,2,22,80,73,73,73,73,73,131,65,65,28,28,75,75,93,93,93,93,3,3,12,198,139,46,46,48,58,58,58,79,94,9,104,150,165,0,0,0,0,0,0,0,0,0
3,3,3,3,3,22,80,29,57,57,57,57,57,45,12,12,2,2,93,93,3,3,3,3,34,77,198,139,46,76,76,147,79,79,79,99,67,107,178,144,69,0,0,0,0,0,0,0,0,0
