ti,tf,T,S,Archivo
28,29,2,0.853736,0
32,38,7,4.832184,0
141,141,1,0.24178500000000014,0
156,156,1,0.41152699999999953,0
216,216,1,0.33408000000000015,0
334,334,1,0.3954160000000009,0
497,497,1,1.7839020000000012,0
501,501,1,4.292133999999997,0
515,515,1,1.3640749999999997,0
567,567,1,0.5946040000000004,0
581,581,1,12.466037,0
606,606,1,0.3077249999999978,0
611,611,1,0.5379840000000016,0
619,619,1,0.9887990000000002,0
681,681,1,0.41561699999999746,0
688,688,1,0.3906019999999941,0
721,721,1,0.2889059999999972,0
762,763,2,0.7554549999999978,0
827,827,1,0.1701100000000011,0
834,834,1,0.2962089999999975,0
836,836,1,0.34206199999999853,0
1033,1033,1,0.23067600000000255,0
28,29,2,0.755388,1
31,38,8,5.640757999999999,1
115,115,1,0.34202899999999836,1
199,199,1,0.2896579999999993,1
269,269,1,0.2727429999999984,1
422,423,2,0.8571179999999998,1
426,426,1,0.3959389999999985,1
472,472,1,2.894926999999999,1
541,543,3,1.3447610000000019,1
556,556,1,1.7477529999999994,1
588,588,1,4.351293000000002,1
595,595,1,1.4370110000000018,1
650,650,1,0.2503820000000019,1
673,673,1,7.912179000000002,1
684,684,1,0.756611999999997,1
767,767,1,0.6409599999999998,1
820,820,1,0.365834999999997,1
864,864,1,0.2338889999999978,1
956,956,1,0.2743370000000027,1
976,976,1,0.33722999999999814,1
24,24,1,0.3226040000000001,2
28,28,1,0.29174200000000017,2
30,38,9,5.822692999999999,2
126,126,1,0.31979699999999944,2
263,263,1,0.30210000000000115,2
321,321,1,0.19908000000000037,2
334,334,1,0.324033,2
459,459,1,4.334388999999998,2
462,462,1,0.20400899999999922,2
465,465,1,0.37383399999999867,2
551,551,1,0.25361099999999936,2
556,557,2,1.965600000000002,2
564,565,2,16.03406,2
590,590,1,0.2985389999999981,2
657,657,1,0.5146220000000028,2
666,666,1,0.3643020000000021,2
710,710,1,0.9270560000000003,2
759,759,1,0.5889200000000017,2
796,796,1,0.25899599999999623,2
931,931,1,0.28013599999999883,2
933,933,1,0.28837099999999793,2
997,997,1,0.3184319999999943,2
24,25,2,0.4885280000000001,3
27,38,12,6.625752,3
82,82,1,0.2574940000000012,3
95,95,1,0.3856129999999993,3
138,138,1,0.21488399999999963,3
141,141,1,0.31406899999999993,3
144,144,1,0.31340900000000005,3
177,177,1,0.297091,3
225,225,1,0.29253399999999985,3
250,250,1,0.33002600000000015,3
349,349,1,0.24626399999999826,3
476,476,1,0.36833799999999783,3
493,494,2,6.025746000000002,3
531,532,2,1.1847119999999975,3
542,542,1,0.549750999999997,3
564,564,1,0.3892239999999987,3
574,576,3,11.48837,3
614,614,1,2.1176750000000055,3
628,628,1,0.4369080000000025,3
631,631,1,0.5774449999999973,3
659,659,1,0.30268200000000434,3
692,692,1,0.3182770000000019,3
706,706,1,0.8963549999999998,3
773,773,1,0.31334800000000484,3
858,858,1,0.2908350000000013,3
916,916,1,0.23089299999999469,3
964,964,1,0.28490599999999944,3
24,24,1,0.288262,4
28,28,1,0.4329019999999999,4
30,30,1,0.3642820000000002,4
32,32,1,0.9120860000000004,4
34,38,5,4.323132000000001,4
97,97,1,0.26271799999999956,4
175,175,1,0.2571120000000011,4
290,290,1,0.26402199999999887,4
334,334,1,0.3326039999999999,4
412,412,1,0.30009399999999786,4
421,421,1,0.30722000000000094,4
475,476,2,1.971145,4
489,490,2,9.755200000000002,4
518,518,1,0.5767659999999992,4
581,581,1,1.3736019999999982,4
619,619,1,0.29333799999999854,4
622,622,1,0.4567339999999973,4
682,682,1,0.34319200000000194,4
695,696,2,6.6619249999999965,4
723,723,1,0.2875139999999945,4
738,738,1,0.3976550000000003,4
816,816,1,0.4526299999999992,4
840,840,1,0.4109809999999996,4
871,871,1,0.32341399999999965,4
929,929,1,0.2737539999999967,4
962,962,1,0.27465500000000276,4
24,24,1,0.4263020000000002,5
27,38,12,6.660831999999999,5
66,66,1,0.2314349999999994,5
74,74,1,0.2776999999999994,5
137,137,1,0.27626799999999996,5
207,207,1,0.23516000000000048,5
222,222,1,0.38754500000000114,5
282,282,1,0.3261800000000008,5
290,290,1,0.28476999999999997,5
363,363,1,0.31403099999999995,5
389,389,1,0.22038299999999822,5
451,451,1,0.2621019999999987,5
454,454,1,0.29746899999999954,5
465,465,1,0.2784240000000011,5
470,470,1,0.3336649999999999,5
472,472,1,5.454338,5
519,519,1,0.398892,5
