ti,tf,T,S,Archivo
26,26,1,-1.1670660000000002,0
30,30,1,-1.304265,0
32,32,1,-1.7538900000000002,0
34,34,1,-1.6804970000000008,0
37,38,2,-4.408251999999999,0
95,95,1,-1.3554850000000016,0
237,237,1,-1.4464509999999997,0
301,301,1,-1.0261439999999986,0
310,310,1,-1.097065999999998,0
337,337,1,-1.2885670000000005,0
377,377,1,-1.574663000000001,0
405,405,1,-2.312346999999999,0
490,490,1,-1.4720999999999975,0
627,627,1,-1.6148579999999981,0
634,634,1,-1.598236,0
680,680,1,-4.632227999999998,0
700,701,2,-5.113914999999999,0
754,754,1,-1.2932309999999987,0
760,761,2,-3.5162499999999994,0
769,769,1,-1.7656919999999943,0
791,792,2,-8.31212200000001,0
874,875,2,-8.746714999999995,0
893,893,1,-5.565204999999992,0
914,914,1,-4.1414549999999934,0
919,919,1,-1.1199729999999875,0
950,951,2,-7.524270999999999,0
1005,1005,1,-1.7565150000000074,0
1009,1009,1,-12.402777000000015,0
1026,1026,1,-4.186899000000011,0
1046,1046,1,-1.3979420000000005,0
1057,1057,1,-1.090014999999994,0
1114,1114,1,-1.340358000000009,0
1127,1127,1,-1.6083559999999864,0
1197,1197,1,-7.459446999999983,0
1202,1202,1,-1.3878780000000006,0
1205,1205,1,-2.119823999999994,0
1225,1225,1,-2.82659799999999,0
1285,1285,1,-0.9358499999999879,0
1306,1306,1,-6.041122999999999,0
1398,1398,1,-1.4072470000000123,0
1437,1437,1,-1.4167230000000188,0
1453,1454,2,-3.4830080000000123,0
1483,1483,1,-1.0110760000000028,0
1523,1523,1,-1.2526829999999904,0
34,38,5,-6.842915000000001,1
66,66,1,-1.6425280000000022,1
221,221,1,-1.780698000000001,1
330,330,1,-2.1992499999999993,1
667,667,1,-1.5709129999999973,1
688,688,1,-1.9023090000000025,1
699,699,1,-7.834629999999997,1
717,717,1,-3.002113999999999,1
819,820,2,-5.625795999999994,1
826,826,1,-2.0071119999999922,1
853,853,1,-2.8933679999999953,1
860,860,1,-6.735490999999996,1
900,900,1,-2.0913400000000024,1
907,907,1,-4.884695999999991,1
963,963,1,-4.847881000000001,1
999,1000,2,-21.147566999999995,1
1024,1024,1,-2.2147170000000074,1
1064,1065,2,-19.597007999999988,1
1084,1084,1,-5.641586999999987,1
1111,1112,2,-10.73117400000001,1
1245,1247,3,-4.793289999999985,1
1298,1298,1,-1.5269909999999811,1
1315,1315,1,-2.174443999999994,1
1338,1338,1,-2.5017549999999744,1
1372,1372,1,-2.182489000000004,1
1444,1444,1,-1.5703280000000177,1
1452,1452,1,-1.6699770000000171,1
1466,1466,1,-1.7496799999999837,1
1470,1470,1,-2.014175999999992,1
30,30,1,-2.174034,2
38,38,1,-4.5689199999999985,2
309,309,1,-1.6201049999999988,2
344,344,1,-1.9449600000000018,2
443,443,1,-1.9802,2
504,504,1,-1.428136000000002,2
532,532,1,-1.9398930000000014,2
536,536,1,-2.219735,2
599,599,1,-1.630780999999999,2
636,636,1,-1.4659460000000024,2
692,693,2,-9.375646000000003,2
747,747,1,-2.1668960000000013,2
783,784,2,-7.998699000000009,2
816,817,2,-15.764743999999993,2
845,845,1,-2.0191229999999933,2
857,857,1,-2.194064999999995,2
863,863,1,-5.212574000000004,2
907,907,1,-1.2566130000000015,2
916,916,1,-2.1555699999999973,2
944,944,1,-1.9621659999999963,2
952,953,2,-9.349383000000003,2
1003,1003,1,-1.9127739999999989,2
1018,1019,2,-5.846000000000004,2
1074,1074,1,-1.7647639999999853,2
1103,1103,1,-1.7367160000000013,2
1105,1105,1,-1.5345609999999965,2
1107,1107,1,-6.055430000000001,2
1129,1129,1,-2.3565559999999834,2
1195,1196,2,-10.207637000000005,2
1265,1265,1,-2.059802999999988,2
1290,1291,2,-5.239433999999989,2
1301,1301,1,-2.1535930000000008,2
1317,1317,1,-4.097946000000007,2
1332,1332,1,-1.8824370000000101,2
1492,1492,1,-1.6139830000000188,2
1507,1507,1,-2.5273310000000038,2
36,38,3,-6.353511000000001,3
88,88,1,-1.6615369999999992,3
167,167,1,-1.8590019999999967,3
207,207,1,-1.5979029999999987,3
338,338,1,-1.8622650000000007,3
361,361,1,-2.5306759999999997,3
401,401,1,-1.720085000000001,3
422,422,1,-2.1006920000000022,3
483,483,1,-1.4779820000000008,3
530,530,1,-1.4382190000000001,3
615,615,1,-1.8208169999999981,3
633,633,1,-1.9123069999999984,3
726,726,1,-1.4180680000000052,3
736,736,1,-1.5805170000000004,3
757,758,2,-6.369468999999995,3
773,773,1,-2.388095,3
785,785,1,-2.0358640000000037,3
794,794,1,-8.081241999999996,3
813,813,1,-4.428192999999993,3
832,832,1,-2.1759639999999933,3
849,849,1,-7.548382999999987,3
874,876,3,-9.484739000000005,3
933,933,1,-2.290317999999999,3
938,938,1,-1.675415000000001,3
949,949,1,-2.0946519999999964,3
954,954,1,-6.249383000000009,3
982,982,1,-2.146117000000004,3
1037,1038,2,-12.298701999999992,3
1043,1044,2,-5.752179999999996,3
1062,1062,1,-3.384147999999996,3
1067,1068,2,-11.987026999999998,3
1095,1095,1,-2.8579459999999983,3
1172,1172,1,-8.862090999999992,3
1210,1210,1,-2.1520849999999996,3
1218,1218,1,-2.2245519999999885,3
1260,1261,2,-5.543300000000016,3
1365,1365,1,-2.2554669999999817,3
1369,1370,2,-5.804361999999998,3
1524,1524,1,-1.7097440000000006,3
27,27,1,-1.7797140000000002,4
36,37,2,-5.156682,4
195,195,1,-1.7573250000000016,4
197,197,1,-2.290119999999998,4
356,356,1,-1.3644780000000019,4
359,359,1,-2.838801,4
444,444,1,-1.9879919999999984,4
508,508,1,-2.1199350000000017,4
583,583,1,-1.8909079999999996,4
620,620,1,-2.6691220000000015,4
625,625,1,-1.529679999999999,4
653,653,1,-2.201366,4
708,709,2,-6.111642000000003,4
747,747,1,-3.508783000000001,4
780,780,1,-4.595588999999997,4
796,796,1,-2.140205999999999,4
833,834,2,-5.330783999999994,4
837,837,1,-4.339433,4
881,881,1,-1.8926170000000013,4
890,890,1,-2.623312999999996,4
896,897,2,-5.307844000000003,4
915,915,1,-10.510717,4
945,945,1,-1.8477910000000008,4
985,986,2,-16.19032899999999,4
1047,1048,2,-10.829370999999995,4
1123,1124,2,-5.502024000000006,4
1153,1153,1,-3.180687000000006,4
1158,1158,1,-2.778323999999998,4
1188,1188,1,-1.9197090000000117,4
1200,1200,1,-2.6220900000000142,4
1417,1417,1,-2.491685000000018,4
1456,1456,1,-1.9398900000000197,4
1505,1505,1,-4.124239999999986,4
1526,1526,1,-1.691203999999999,4
38,38,1,-2.870057000000001,5
183,183,1,-2.3989160000000034,5
364,364,1,-1.4645899999999976,5
422,422,1,-1.7177500000000023,5
476,476,1,-2.221304,5
562,562,1,-1.4957260000000012,5
578,578,1,-1.7605289999999982,5
630,630,1,-1.6588399999999979,5
644,644,1,-2.164670000000001,5
658,658,1,-3.0576049999999952,5
687,687,1,-2.3157210000000035,5
708,708,1,-2.213871999999995,5
713,713,1,-4.011023999999999,5
742,742,1,-1.787939999999999,5
762,762,1,-9.198999,5
779,779,1,-1.9153620000000018,5
792,792,1,-6.995816000000005,5
810,810,1,-3.289127999999991,5
837,838,2,-7.055418000000003,5
844,844,1,-1.8015359999999987,5
847,847,1,-1.8444649999999996,5
853,853,1,-2.3213619999999935,5
927,927,1,-2.6505670000000094,5
951,951,1,-5.1409559999999885,5
984,985,2,-15.81244000000001,5
1022,1022,1,-2.0505529999999936,5
1037,1038,2,-10.642784000000006,5
1045,1045,1,-5.094038999999981,5
1112,1112,1,-2.646864000000022,5
1123,1123,1,-2.1604999999999848,5
1147,1147,1,-2.477794000000017,5
1180,1180,1,-1.6480829999999855,5
1182,1182,1,-3.070498999999984,5
1196,1196,1,-1.8841620000000034,5
1198,1198,1,-2.2465550000000007,5
1229,1229,1,-1.7391649999999856,5
1234,1234,1,-1.7039450000000045,5
1261,1261,1,-2.7935509999999795,5
1284,1284,1,-3.3533219999999915,5
1324,1324,1,-1.9820789999999988,5
1363,1363,1,-2.20943299999999,5
1483,1483,1,-1.6468619999999987,5
36,37,2,-4.9248889999999985,6
134,134,1,-2.4399960000000007,6
185,185,1,-2.0544459999999987,6
251,251,1,-1.9212740000000004,6
381,381,1,-2.2722969999999982,6
480,480,1,-1.622204,6
553,553,1,-1.7928300000000021,6
617,617,1,-2.1856670000000022,6
637,637,1,-2.2814890000000005,6
705,705,1,-7.9733619999999945,6
733,733,1,-3.428936,6
762,762,1,-4.608364999999999,6
768,768,1,-2.369931000000001,6
800,800,1,-3.225552999999998,6
841,841,1,-2.5450969999999984,6
855,856,2,-7.837069999999997,6
894,894,1,-2.053605999999988,6
922,922,1,-1.7948949999999968,6
929,929,1,-2.4337539999999933,6
933,933,1,-3.4318229999999943,6
947,947,1,-10.219539999999995,6
971,972,2,-10.264425000000003,6
1008,1009,2,-5.200043999999991,6
1040,1040,1,-1.3045999999999935,6
1049,1049,1,-11.321747000000002,6
1140,1140,1,-4.967263000000003,6
1176,1176,1,-2.2942199999999957,6
1234,1234,1,-1.4392279999999857,6
1244,1244,1,-2.362509000000017,6
1270,1270,1,-1.6311090000000092,6
1282,1283,2,-5.454144000000014,6
1330,1330,1,-4.281127999999995,6
1356,1356,1,-2.299402999999984,6
1449,1449,1,-1.6198160000000144,6
1471,1471,1,-5.068642000000011,6
34,34,1,-2.1702769999999987,7
37,38,2,-5.487654000000001,7
99,99,1,-1.6548440000000006,7
259,259,1,-0.8109350000000006,7
261,261,1,-1.465795,7
344,344,1,-2.035892999999998,7
388,388,1,-3.0433549999999983,7
432,432,1,-2.2406869999999977,7
559,559,1,-2.046310000000002,7
621,621,1,-1.6558460000000004,7
654,654,1,-1.9736219999999989,7
702,702,1,-3.132781999999999,7
745,745,1,-1.625359000000003,7
754,754,1,-1.9194240000000065,7
789,789,1,-2.676653999999999,7
804,804,1,-3.5391910000000024,7
844,845,2,-7.5830899999999986,7
882,882,1,-2.237587000000005,7
890,890,1,-2.259221000000011,7
925,926,2,-6.916764000000001,7
958,958,1,-3.4985659999999967,7
975,975,1,-2.3311740000000043,7
984,985,2,-21.469611999999998,7
996,997,2,-8.171747999999994,7
1027,1027,1,-2.3877880000000005,7
1080,1080,1,-6.376521000000025,7
1087,1087,1,-2.1499959999999874,7
1107,1107,1,-4.296855999999991,7
1130,1130,1,-1.132081999999997,7
1134,1134,1,-1.73556099999999,7
1139,1139,1,-2.247252000000003,7
