ti,tf,T,S,Archivo,Corriente
95,95,1,-0.00833502961723076,0,0.036811
237,237,1,-0.008894389775521483,0,0.038156
301,301,1,-0.006309874791342929,0,0.038762
310,310,1,-0.006745982140751727,0,0.038847
337,337,1,-0.007923543313858805,0,0.039103
377,377,1,-0.009682779774145112,0,0.039481
405,405,1,-0.014218881603495603,0,0.039746
490,490,1,-0.009052108359388189,0,0.040551
627,627,1,-0.009929943346936199,0,0.041848
634,634,1,-0.009827732800675837,0,0.041915
680,680,1,-0.028484090619789182,0,0.04235
700,701,2,-0.03144603812288582,0,0.04254
754,754,1,-0.00795222277407781,0,0.043051
760,761,2,-0.02162181646538841,0,0.043108
769,769,1,-0.010857438566201139,0,0.043193
791,792,2,-0.05111217243424615,0,0.043401
874,875,2,-0.053784533638125964,0,0.044187
893,893,1,-0.034221071056455554,0,0.044367
914,914,1,-0.02546627228145476,0,0.044566
919,919,1,-0.006886839858425975,0,0.044613
950,951,2,-0.04626758808328335,0,0.044907
1005,1005,1,-0.010801008161735404,0,0.045428
1009,1009,1,-0.07626606980594153,0,0.045465
1026,1026,1,-0.025745712545216848,0,0.045626
1046,1046,1,-0.008596102482263224,0,0.045816
1057,1057,1,-0.0067026247492414925,0,0.04592
1114,1114,1,-0.00824201199400365,0,0.04646
1127,1127,1,-0.009889961818131815,0,0.046583
1197,1197,1,-0.04586897802127052,0,0.047246
1202,1202,1,-0.008534217815101441,0,0.047293
1205,1205,1,-0.013035036037518821,0,0.047321
1225,1225,1,-0.017381068802682975,0,0.047511
1285,1285,1,-0.005754646836582597,0,0.048079
1306,1306,1,-0.037147544330134966,0,0.048278
1398,1398,1,-0.008653319973115914,0,0.049149
1437,1437,1,-0.008711588962188405,0,0.049518
1453,1454,2,-0.021417407671092806,0,0.04967
1483,1483,1,-0.00621721996574737,0,0.049954
1523,1523,1,-0.0077028885646106045,0,0.050332
66,66,1,-0.009722065649157896,1,0.036537
221,221,1,-0.010539889035270145,1,0.038004
330,330,1,-0.01301728364990462,1,0.039036
667,667,1,-0.009298178974797233,1,0.042227
688,688,1,-0.011259700280898732,1,0.042426
699,699,1,-0.04637290030785601,1,0.04253
717,717,1,-0.017769407519540703,1,0.042701
819,820,2,-0.033298889297942,1,0.043666
826,826,1,-0.011880025563772767,1,0.043733
853,853,1,-0.017125743757898104,1,0.043988
860,860,1,-0.039867135099865725,1,0.044055
900,900,1,-0.012378568142953905,1,0.044433
907,907,1,-0.028912344379017574,1,0.0445
963,963,1,-0.02869443768465768,1,0.04503
999,1000,2,-0.12517170769324215,1,0.045371
1024,1024,1,-0.013108832280671112,1,0.045608
1064,1065,2,-0.11599400333088561,1,0.045986
1084,1084,1,-0.03339235567334972,1,0.046176
1111,1112,2,-0.06351744269841167,1,0.046431
1245,1247,3,-0.02837131546947877,1,0.0477
1298,1298,1,-0.00903820619659032,1,0.048202
1315,1315,1,-0.012870457805539692,1,0.048363
1338,1338,1,-0.01480780013985078,1,0.048581
1372,1372,1,-0.01291807587850257,1,0.048903
1444,1444,1,-0.009294716380305868,1,0.049584
1452,1452,1,-0.009884535317866098,1,0.04966
1466,1466,1,-0.01035629458068202,1,0.049793
1470,1470,1,-0.01192183713212696,1,0.049831
309,309,1,-0.00991312559065316,2,0.038837
344,344,1,-0.011900853801943057,2,0.039169
443,443,1,-0.012116480903775595,2,0.040106
504,504,1,-0.008738502460354791,2,0.040684
532,532,1,-0.01186984975753369,2,0.040949
536,536,1,-0.013582151671014175,2,0.040987
599,599,1,-0.009978450078143575,2,0.041583
636,636,1,-0.008969854921203058,2,0.041934
692,693,2,-0.057367859670518606,2,0.042464
747,747,1,-0.013258839513416776,2,0.042985
783,784,2,-0.04894257332014429,2,0.043326
816,817,2,-0.09646157945102107,2,0.043638
845,845,1,-0.012354643607652815,2,0.043913
857,857,1,-0.01342508164536027,2,0.044026
863,863,1,-0.03189478503712628,2,0.044083
907,907,1,-0.007688984657073239,2,0.0445
916,916,1,-0.01318953779504678,2,0.044585
944,944,1,-0.012006134162729942,2,0.04485
952,953,2,-0.05720716118653918,2,0.044926
1003,1003,1,-0.011703913566426916,2,0.045409
1018,1019,2,-0.03577060264795101,2,0.045551
1074,1074,1,-0.010798267501096137,2,0.046081
1103,1103,1,-0.010626646929240313,2,0.046356
1105,1105,1,-0.009389697531652752,2,0.046374
1107,1107,1,-0.037052066437304465,2,0.046393
1129,1129,1,-0.014419334295867975,2,0.046602
1195,1196,2,-0.06245866012684273,2,0.047227
1265,1265,1,-0.012603557072537963,2,0.047889
1290,1291,2,-0.032059136454697906,2,0.048126
1301,1301,1,-0.013177440894356601,2,0.04823
1317,1317,1,-0.02507458057453993,2,0.048382
1332,1332,1,-0.011518287023058724,2,0.048524
1492,1492,1,-0.009875666194585794,2,0.050039
1507,1507,1,-0.015464275224230026,2,0.050181
88,88,1,-0.010029294666851873,3,0.036745
167,167,1,-0.01122122398975578,3,0.037493
207,207,1,-0.009645189987371183,3,0.037872
338,338,1,-0.011240919963121487,3,0.039112
361,361,1,-0.01527555228100863,3,0.03933
401,401,1,-0.010382699462625267,3,0.039709
422,422,1,-0.012680102262121462,3,0.039907
483,483,1,-0.008921328258295391,3,0.040485
530,530,1,-0.008681312631897531,3,0.04093
615,615,1,-0.010990733415755072,3,0.041735
633,633,1,-0.01154298122550601,3,0.041905
726,726,1,-0.008559678074959165,3,0.042786
736,736,1,-0.009540245398669267,3,0.042881
757,758,2,-0.03844710137203,3,0.043079
773,773,1,-0.014414911282406462,3,0.043231
785,785,1,-0.012288790413716888,3,0.043344
794,794,1,-0.048779628315312795,3,0.04343
813,813,1,-0.026729258775874953,3,0.04361
832,832,1,-0.013134455712067616,3,0.04379
849,849,1,-0.045563208863393156,3,0.04395
874,876,3,-0.05725135357755051,3,0.044187
933,933,1,-0.013824714166939978,3,0.044746
938,938,1,-0.010113064424243201,3,0.044793
949,949,1,-0.012643643886660727,3,0.044897
954,954,1,-0.037722243677399514,3,0.044945
982,982,1,-0.012954294597436133,3,0.04521
1037,1038,2,-0.07423687006536783,3,0.045731
1043,1044,2,-0.034721049363795276,3,0.045787
1062,1062,1,-0.020427241456697998,3,0.045967
1067,1068,2,-0.072355551493894,3,0.046015
1095,1095,1,-0.017251004687798582,3,0.04628
1172,1172,1,-0.053492953815326705,3,0.047009
1210,1210,1,-0.012990318369745624,3,0.047369
1218,1218,1,-0.013427740405260125,3,0.047444
1260,1261,2,-0.0334602173329637,3,0.047842
1365,1365,1,-0.013614348133300883,3,0.048836
