ti,tf,T,S,Archivo,Corriente
141,141,1,0.006734674760624976,0,-0.025826
156,156,1,0.01146266517863273,0,-0.025928
216,216,1,0.009305457923484056,0,-0.026335
334,334,1,0.01101390969310459,0,-0.027135
497,497,1,0.049688772152236216,0,-0.02824
501,501,1,0.11955301825597248,0,-0.028267
515,515,1,0.03799491893252066,0,-0.028362
567,567,1,0.0165620884313199,0,-0.028715
581,581,1,0.3472287559150366,0,-0.02881
606,606,1,0.008571366258094182,0,-0.028979
611,611,1,0.014984996035403708,0,-0.029013
619,619,1,0.02754198841380251,0,-0.029067
681,681,1,0.011576587960322793,0,-0.029488
688,688,1,0.010879820629276393,0,-0.029535
721,721,1,0.008047182192415181,0,-0.029759
762,763,2,0.021042429105560423,0,-0.030037
827,827,1,0.004738240682961803,0,-0.030478
834,834,1,0.00825059981458709,0,-0.030525
836,836,1,0.009527788398655312,0,-0.030539
1033,1033,1,0.006425244887325321,0,-0.031875
115,115,1,0.009624899654154848,1,-0.02565
199,199,1,0.008151148540103889,1,-0.026219
269,269,1,0.007675150371381251,1,-0.026694
422,423,2,0.024119810722979446,1,-0.027731
426,426,1,0.011141959144301855,1,-0.027759
472,472,1,0.08146496899708408,1,-0.028071
541,543,3,0.037842375014460805,1,-0.028538
556,556,1,0.04918280977708961,1,-0.02864
588,588,1,0.12244797514487565,1,-0.028857
595,595,1,0.04043834492664877,1,-0.028905
650,650,1,0.007045898520905092,1,-0.029278
673,673,1,0.22265342681676603,1,-0.029433
684,684,1,0.021291512056373696,1,-0.029508
767,767,1,0.018036995934049838,1,-0.030071
820,820,1,0.010294814664773222,1,-0.03043
864,864,1,0.006581775683379476,1,-0.030729
956,956,1,0.007720006480216424,1,-0.031353
976,976,1,0.009489852937530574,1,-0.031488
126,126,1,0.008996432366294022,2,-0.025724
263,263,1,0.00849858572112136,2,-0.026653
321,321,1,0.005600458276599912,2,-0.027047
334,334,1,0.009115598235591188,2,-0.027135
459,459,1,0.12193371885198706,2,-0.027982
462,462,1,0.005739119412049742,2,-0.028003
465,465,1,0.010516584887354019,2,-0.028023
551,551,1,0.007134507856071837,2,-0.028606
556,557,2,0.05529566399680924,2,-0.02864
564,565,2,0.45106532064747584,2,-0.028694
590,590,1,0.008398408747427366,2,-0.028871
657,657,1,0.014477190271350193,2,-0.029325
666,666,1,0.010248433549738478,2,-0.029386
710,710,1,0.02607965867024098,2,-0.029684
759,759,1,0.016567319109178413,2,-0.030017
796,796,1,0.007285997045440307,2,-0.030268
931,931,1,0.007880701124038492,2,-0.031183
933,933,1,0.008112365650398745,2,-0.031197
997,997,1,0.00895803259962924,2,-0.031631
82,82,1,0.006966619214091335,3,-0.025426
95,95,1,0.010432937990801291,3,-0.025514
138,138,1,0.005813785964724594,3,-0.025806
141,141,1,0.00849728199472781,3,-0.025826
144,144,1,0.008479425389597978,3,-0.025846
177,177,1,0.008037934355494103,3,-0.02607
225,225,1,0.007914642613711331,3,-0.026396
250,250,1,0.008929006006934928,3,-0.026565
349,349,1,0.006662786372261004,3,-0.027236
476,476,1,0.009965554879259125,3,-0.028098
493,494,2,0.1630293438403763,3,-0.028213
531,532,2,0.03205293087359129,3,-0.028471
542,542,1,0.014873767464740506,3,-0.028545
564,564,1,0.010530635265231292,3,-0.028694
574,576,3,0.3108231616293589,3,-0.028762
614,614,1,0.057294676164108105,3,-0.029033
628,628,1,0.011820747930399222,3,-0.029128
631,631,1,0.015623041438173058,3,-0.029149
659,659,1,0.008189201445313654,3,-0.029339
692,692,1,0.008611131380161674,3,-0.029562
706,706,1,0.02425129892598199,3,-0.029657
773,773,1,0.008477775006396682,3,-0.030112
858,858,1,0.007868675383233215,3,-0.030688
916,916,1,0.006246916860972118,3,-0.031081
964,964,1,0.0077082635471501515,3,-0.031407
97,97,1,0.007342930195794323,4,-0.025528
175,175,1,0.007186243304612094,4,-0.026057
290,290,1,0.007379376807656879,4,-0.026836
334,334,1,0.00929623381284106,4,-0.027135
412,412,1,0.008387584003291315,4,-0.027664
421,421,1,0.008586754675172392,4,-0.027725
475,476,2,0.055093218358806845,4,-0.028091
489,490,2,0.2726564325474952,4,-0.028186
518,518,1,0.01612052648584228,4,-0.028382
581,581,1,0.03839197772061087,4,-0.02881
619,619,1,0.008198754778027784,4,-0.029067
622,622,1,0.012765649403717716,4,-0.029088
682,682,1,0.009592166885234565,4,-0.029495
695,696,2,0.18619984258641253,4,-0.029583
723,723,1,0.008035974818297875,4,-0.029773
738,738,1,0.011114399877467873,4,-0.029874
816,816,1,0.012650943195831155,4,-0.030403
840,840,1,0.011486859654830428,4,-0.030566
871,871,1,0.009039374638748043,4,-0.030776
929,929,1,0.007651384803551542,4,-0.031169
962,962,1,0.0076765676235579505,4,-0.031393
66,66,1,0.006518062483782977,5,-0.025317
74,74,1,0.007821055379465217,5,-0.025372
137,137,1,0.007780724982261802,5,-0.025799
207,207,1,0.0066229722111453004,5,-0.026274
222,222,1,0.010914695380031925,5,-0.026375
282,282,1,0.009186430837860915,5,-0.026782
290,290,1,0.008020172633814604,5,-0.026836
363,363,1,0.008844270226391254,5,-0.027331
389,389,1,0.006206797434975431,5,-0.027508
451,451,1,0.007381758217747891,5,-0.027928
454,454,1,0.00837782327214312,5,-0.027948
465,465,1,0.007841445887548565,5,-0.028023
470,470,1,0.009397236021567418,5,-0.028057
472,472,1,0.15361425839510873,5,-0.028071
519,519,1,0.011234268715972828,5,-0.028389
568,568,1,0.007436085966494699,5,-0.028721
593,593,1,0.010010725576233892,5,-0.028891
614,615,2,0.1371900984256022,5,-0.029033
636,636,1,0.026990808527862398,5,-0.029183
664,665,2,0.24239858616047205,5,-0.029372
669,669,1,0.05026539063017288,5,-0.029406
707,707,1,0.009467673398247611,5,-0.029664
740,740,1,0.02490540029369659,5,-0.029888
806,806,1,0.007912080410025002,5,-0.030335
821,821,1,0.0073221638598690575,5,-0.030437
849,849,1,0.010498745913343654,5,-0.030627
893,893,1,0.013509641006798745,5,-0.030925
932,932,1,0.006154807272100049,5,-0.03119
934,934,1,0.006710955563703602,5,-0.031203
943,943,1,0.00946820850826624,5,-0.031264
1001,1001,1,0.006797896859909391,5,-0.031658
224,224,1,0.006970673432028576,6,-0.026389
271,271,1,0.005800908257395404,6,-0.026708
321,321,1,0.0063123209276534364,6,-0.027047
342,342,1,0.008017838326641324,6,-0.027189
363,363,1,0.009025377411861601,6,-0.027331
401,402,2,0.04424575571622036,6,-0.027589
435,435,1,0.01068111576915709,6,-0.02782
481,482,2,0.10241164932236063,6,-0.028132
532,533,2,0.25198901115668204,6,-0.028477
536,536,1,0.037541068767024566,6,-0.028504
566,567,2,0.062278742383418906,6,-0.028708
593,593,1,0.006353018467121885,6,-0.028891
604,604,1,0.015047597929970236,6,-0.028966
661,662,2,0.030253050418780014,6,-0.029352
687,690,4,0.08855829713823538,6,-0.029528
790,791,2,0.018627712249161266,6,-0.030227
843,843,1,0.006327071317911215,6,-0.030586
850,850,1,0.006776492864294381,6,-0.030634
873,873,1,0.009019849540942593,6,-0.03079
986,986,1,0.00866956302659827,6,-0.031556
992,992,1,0.01232424719634706,6,-0.031597
75,75,1,0.007029532926227933,7,-0.025378
145,145,1,0.00747505344911964,7,-0.025853
188,188,1,0.008204544146406673,7,-0.026145
245,245,1,0.006911158179477295,7,-0.026531
250,250,1,0.008661413363576259,7,-0.026565
271,271,1,0.007740343223280349,7,-0.026708
308,308,1,0.00735280216818493,7,-0.026958
312,312,1,0.005732972695800004,7,-0.026986
