ti,tf,T,S,Archivo
152,152,1,0.18440000000000012,0
215,215,1,0.2123999999999988,0
496,505,10,15.487990000000002,0
513,516,4,2.5313600000000003,0
518,519,2,0.6761400000000002,0
521,522,2,0.5457599999999996,0
558,558,1,0.18442000000000025,0
565,567,3,2.03029,0
579,584,6,25.44946,0
617,619,3,1.1845999999999997,0
652,653,2,0.5252999999999979,0
656,656,1,0.21979999999999933,0
658,658,1,0.2571000000000012,0
680,682,3,0.9108000000000018,0
762,763,2,0.7431999999999945,0
792,792,1,0.24399999999999977,0
836,837,2,0.4749999999999943,0
894,896,3,0.9760999999999953,0
64,64,1,0.21039999999999992,1
87,87,1,0.22170000000000023,1
349,349,1,0.25700000000000145,1
410,410,1,0.3521000000000001,1
421,425,5,3.5708,1
470,475,6,8.85693,1
509,509,1,0.21979999999999933,1
540,542,3,2.6281900000000005,1
545,545,1,0.37440000000000007,1
554,558,5,3.12926,1
586,591,6,12.775957,1
593,596,4,4.759099999999998,1
609,610,2,0.7450999999999972,1
667,668,2,0.41910000000000025,1
671,677,7,14.014700000000001,1
766,766,1,0.24399999999999977,1
974,975,2,0.5792000000000002,1
291,291,1,0.22723999999999833,2
405,405,1,0.2124000000000006,2
441,441,1,0.21969999999999956,2
457,462,6,11.000857,2
464,466,3,0.9369170000000001,2
555,559,5,5.19494,2
562,568,7,31.676399999999997,2
650,650,1,0.18439999999999657,2
652,652,1,0.26830000000000354,2
656,658,3,1.072899999999997,2
709,711,3,0.724499999999999,2
761,761,1,0.25150000000000006,2
820,820,1,0.2254000000000005,2
845,846,2,0.8214000000000041,2
867,867,1,0.2644999999999982,2
884,885,2,0.5717999999999961,2
948,948,1,0.2589000000000041,2
283,283,1,0.2235100000000001,3
301,302,2,0.5047800000000002,3
435,436,2,0.8325999999999993,3
475,476,2,0.605360000000001,3
491,496,6,15.677969999999998,3
511,512,2,0.6500700000000004,3
518,518,1,0.2514500000000002,3
530,532,3,2.1308700000000007,3
535,535,1,0.2998799999999999,3
540,543,4,2.0618999999999996,3
564,564,1,0.2589000000000006,3
573,578,6,21.9682,3
612,615,4,2.3785999999999987,3
630,630,1,0.23469999999999658,3
638,638,1,0.21799999999999642,3
704,706,3,1.4397999999999982,3
750,750,1,0.20489999999999498,3
758,758,1,0.25330000000000297,3
870,870,1,0.2254000000000005,3
328,328,1,0.32409999999999783,4
391,391,1,0.33340000000000103,4
422,422,1,0.29990000000000094,4
473,476,4,2.825599999999998,4
488,495,8,29.049999999999997,4
497,497,1,0.2532999999999994,4
517,519,3,1.4025999999999996,4
538,538,1,0.2719000000000005,4
579,582,4,2.5146999999999995,4
645,645,1,0.19560000000000244,4
681,682,2,0.5998000000000019,4
693,699,7,10.781099999999999,4
757,757,1,0.2272999999999996,4
777,777,1,0.20299999999999585,4
809,809,1,0.24029999999999774,4
815,815,1,0.29809999999999803,4
826,826,1,0.27009999999999934,4
