ti,tf,T,S,Archivo
422,423,2,0.35770000000000834,0
508,508,1,0.11920000000000641,0
569,570,2,0.417199999999994,0
600,600,1,0.1191999999999922,0
626,628,3,0.7153000000000134,0
630,630,1,0.1787999999999954,0
644,645,2,0.357600000000005,0
649,649,1,0.1191999999999922,0
680,682,3,1.0131999999999977,0
690,690,1,0.11920000000000641,0
700,703,4,3.159099999999995,0
743,744,2,0.23850000000000193,0
758,758,1,0.11929999999999552,0
760,763,4,5.423999999999992,0
769,770,2,0.47680000000001144,0
788,788,1,0.11920000000000641,0
791,796,6,6.675700000000006,0
816,818,3,0.5363999999999862,0
856,856,1,0.1787999999999954,0
862,864,3,1.6689000000000078,0
874,877,4,3.7550999999999988,0
884,884,1,0.1191999999999922,0
893,897,5,3.2186999999999983,0
914,917,4,3.5759000000000043,0
944,944,1,0.11899999999999977,0
950,953,4,2.562999999999988,0
979,981,3,0.5960000000000036,0
1005,1006,2,0.5960000000000036,0
1008,1012,5,6.497,0
1019,1020,2,0.5960000000000036,0
1026,1028,3,1.668999999999997,0
1034,1035,2,0.2980000000000018,0
1050,1051,2,0.4170000000000016,0
1058,1058,1,0.2979999999999876,0
1114,1114,1,0.11899999999999977,0
1127,1128,2,0.5960000000000036,0
1165,1165,1,0.11899999999999977,0
1197,1199,3,3.158999999999992,0
1204,1206,3,1.0730000000000075,0
1222,1226,5,1.6099999999999994,0
1269,1269,1,0.11899999999999977,0
1275,1275,1,0.11899999999999977,0
1278,1279,2,0.7149999999999892,0
1305,1307,3,1.967000000000013,0
1338,1339,2,0.2980000000000018,0
1376,1377,2,0.2980000000000018,0
1380,1382,3,0.5360000000000014,0
1453,1455,3,1.7279999999999944,0
1518,1518,1,0.11899999999999977,0
164,164,1,0.1191999999999993,1
201,201,1,0.1191999999999993,1
467,467,1,0.3576000000000015,1
479,483,5,3.337900000000001,1
497,498,2,0.5364000000000004,1
586,586,1,0.1191999999999993,1
590,591,2,1.1921,1
632,632,1,0.1191999999999993,1
666,668,3,0.8941000000000017,1
687,689,3,1.1324000000000005,1
697,701,5,4.2318999999999996,1
705,707,3,0.8345999999999982,1
717,719,3,1.9074000000000026,1
775,776,2,0.23840000000000572,1
810,812,3,0.6556999999999995,1
819,822,4,2.2650000000000006,1
852,855,4,3.457099999999997,1
859,862,4,5.125999999999998,1
898,901,4,1.5496999999999943,1
907,909,3,1.5497000000000014,1
911,911,1,0.29809999999999803,1
913,914,2,0.4767999999999972,1
927,927,1,0.1191999999999993,1
929,929,1,0.11920000000000641,1
956,957,2,0.23850000000000193,1
962,965,4,2.086200000000005,1
992,992,1,0.1191999999999993,1
999,1002,4,6.675700000000006,1
1029,1029,1,0.1191999999999993,1
1063,1066,4,7.808399999999999,1
1074,1074,1,0.1788000000000025,1
1083,1085,3,2.861000000000004,1
1089,1089,1,0.1191999999999922,1
1111,1113,3,2.741799999999998,1
1159,1159,1,0.11920000000000641,1
1163,1163,1,0.11920000000000641,1
1172,1173,2,0.3575999999999908,1
1211,1211,1,0.1191999999999922,1
1228,1229,2,0.29810000000000514,1
1246,1248,3,1.0728000000000009,1
1253,1253,1,0.1191999999999922,1
1271,1271,1,0.11920000000000641,1
1300,1301,2,0.357600000000005,1
1317,1317,1,0.1191999999999922,1
1336,1336,1,0.11920000000000641,1
1348,1349,2,1.1324999999999932,1
1371,1374,4,0.8345000000000056,1
1435,1435,1,0.11920000000000641,1
1444,1446,3,1.0132999999999868,1
1452,1452,1,0.11920000000000641,1
1500,1500,1,0.11920000000000641,1
1521,1521,1,0.11920000000000641,1
1532,1532,1,0.11920000000000641,1
285,285,1,0.1191999999999993,2
329,330,2,0.4768000000000008,2
424,425,2,0.2980000000000018,2
432,435,4,0.9536999999999978,2
483,484,2,0.2980000000000018,2
520,521,2,0.5960999999999999,2
527,527,1,0.11920000000000286,2
558,558,1,0.11930000000000263,2
574,574,1,0.2981000000000016,2
592,594,3,0.8941000000000017,2
636,638,3,0.8941000000000017,2
650,652,3,0.3575999999999979,2
662,663,2,1.1921,2
666,667,2,0.3576000000000015,2
689,689,1,0.17879999999999896,2
692,698,7,5.781699999999997,2
721,723,3,0.5365000000000002,2
776,777,2,0.4173000000000009,2
783,786,4,1.9669999999999987,2
817,820,4,6.020099999999999,2
832,832,1,0.1191999999999993,2
845,847,3,0.8940999999999946,2
854,855,2,0.4172000000000011,2
857,858,2,0.715200000000003,2
863,865,3,1.9073000000000064,2
875,878,4,0.417199999999994,2
898,898,1,0.1191999999999993,2
905,907,3,0.3575999999999979,2
915,918,4,1.2516999999999996,2
936,936,1,0.1191999999999993,2
944,947,4,1.4900999999999982,2
952,956,5,2.6822000000000017,2
968,969,2,0.41729999999999734,2
984,984,1,0.1191999999999993,2
988,988,1,0.1191999999999993,2
992,994,3,0.8939999999999984,2
1000,1002,3,0.9537000000000049,2
1018,1020,3,2.2053999999999974,2
1034,1036,3,1.8476999999999961,2
1038,1038,1,0.1788000000000025,2
1045,1045,1,0.1191999999999993,2
1060,1063,4,1.3113000000000028,2
1071,1071,1,0.1191999999999993,2
1073,1075,3,1.3113000000000028,2
1090,1090,1,0.1191999999999993,2
1104,1104,1,0.2383999999999986,2
1106,1108,3,1.6688999999999936,2
1120,1120,1,0.11929999999999552,2
1125,1125,1,0.1191999999999993,2
1127,1128,2,0.35779999999999745,2
1134,1134,1,0.1788000000000025,2
1137,1137,1,0.1191999999999993,2
1145,1146,2,0.4172000000000011,2
1195,1198,4,4.589600000000004,2
1230,1231,2,0.41720000000000823,2
1258,1258,1,0.11929999999999552,2
1274,1274,1,0.11929999999999552,2
1283,1283,1,0.11929999999999552,2
1290,1292,3,1.1920999999999964,2
1300,1301,2,0.7152999999999992,2
1306,1306,1,0.11920000000000641,2
1311,1311,1,0.11920000000000641,2
1314,1315,2,0.2383999999999986,2
1317,1319,3,1.430499999999995,2
1346,1346,1,0.11920000000000641,2
1354,1354,1,0.11920000000000641,2
1372,1374,3,0.6555999999999926,2
1377,1377,1,0.17880000000000962,2
1387,1387,1,0.11920000000000641,2
1393,1393,1,0.11920000000000641,2
1403,1403,1,0.1191999999999922,2
1408,1408,1,0.1787999999999954,2
1416,1416,1,0.1191999999999922,2
1472,1472,1,0.11920000000000641,2
1486,1486,1,0.1191999999999922,2
1496,1496,1,0.1191999999999922,2
1507,1508,2,0.7749000000000024,2
1530,1530,1,0.11920000000000641,2
127,127,1,0.1191999999999993,3
401,402,2,0.29799999999999827,3
414,416,3,1.0132999999999974,3
459,460,2,0.5960999999999999,3
463,463,1,0.11920000000000286,3
614,616,3,0.6555999999999997,3
623,623,1,0.17879999999999896,3
634,635,2,0.2383999999999986,3
658,658,1,0.17879999999999896,3
662,664,3,2.2650000000000006,3
726,727,2,0.5960000000000001,3
731,732,2,0.47690000000000055,3
757,759,3,4.053099999999997,3
773,774,2,0.8343999999999987,3
792,796,5,3.5763,3
800,801,2,0.3575999999999979,3
810,811,2,0.47690000000000055,3
813,816,4,2.5630999999999986,3
837,838,2,0.2980000000000018,3
849,851,3,1.7881,3
874,878,5,4.947200000000002,3
903,903,1,0.1191999999999993,3
933,935,3,1.013300000000001,3
938,938,1,0.2383999999999986,3
949,950,2,0.2383999999999986,3
954,958,5,2.9206000000000003,3
960,961,2,0.35770000000000124,3
989,991,3,0.47680000000000433,3
1014,1014,1,0.11929999999999552,3
1036,1040,5,3.6359000000000066,3
1043,1045,3,2.2648999999999972,3
1062,1065,4,2.1458000000000013,3
1067,1070,4,4.470300000000002,3
1094,1097,4,4.768599999999999,3
1147,1147,1,0.1191999999999993,3
1152,1154,3,1.013300000000001,3
1171,1174,4,4.112799999999993,3
1224,1225,2,0.35770000000000834,3
1227,1227,1,0.11920000000000641,3
1260,1262,3,1.430499999999995,3
1273,1273,1,0.1191999999999922,3
1280,1281,2,0.7152999999999992,3
1285,1285,1,0.1191999999999922,3
1287,1289,3,1.1325000000000074,3
1296,1296,1,0.1191999999999922,3
1308,1309,2,0.2383999999999986,3
1350,1350,1,0.1191999999999922,3
1365,1366,2,0.4767999999999972,3
1369,1371,3,1.9669999999999987,3
1375,1375,1,0.11920000000000641,3
1430,1431,2,0.2980000000000018,3
1439,1439,1,0.1191999999999922,3
1518,1518,1,0.11920000000000641,3
1535,1535,1,0.47690000000000055,3
117,117,1,0.11930000000000263,4
141,141,1,0.1191999999999993,4
270,270,1,0.1191999999999993,4
280,280,1,0.1191999999999993,4
442,442,1,0.11920000000000286,4
491,491,1,0.1191999999999993,4
501,503,3,0.7153000000000027,4
510,512,3,0.47690000000000055,4
562,563,2,0.7151999999999994,4
583,584,2,0.3576000000000015,4
614,614,1,0.17879999999999896,4
617,622,6,3.2186999999999983,4
655,656,2,0.3575999999999979,4
660,660,1,0.11920000000000286,4
708,711,4,3.337900000000001,4
748,749,2,0.2383999999999986,4
761,762,2,0.2980000000000018,4
777,777,1,0.23840000000000217,4
780,783,4,2.8013999999999974,4
796,797,2,0.5364000000000004,4
802,803,2,0.476899999999997,4
805,806,2,0.2383999999999986,4
808,808,1,0.1191999999999993,4
824,824,1,0.1191999999999993,4
833,840,8,8.464000000000002,4
