ti,tf,T,S,Archivo,Corriente
422,423,2,0.35770000000000834,0,0.039907
508,508,1,0.11920000000000641,0,0.040722
569,570,2,0.417199999999994,0,0.041299
600,600,1,0.1191999999999922,0,0.041593
626,628,3,0.7153000000000134,0,0.041839
630,630,1,0.1787999999999954,0,0.041877
644,645,2,0.357600000000005,0,0.042009
649,649,1,0.1191999999999922,0,0.042057
680,682,3,1.0131999999999977,0,0.04235
690,690,1,0.11920000000000641,0,0.042445
700,703,4,3.159099999999995,0,0.04254
743,744,2,0.23850000000000193,0,0.042947
758,758,1,0.11929999999999552,0,0.043089
760,763,4,5.423999999999992,0,0.043108
769,770,2,0.47680000000001144,0,0.043193
788,788,1,0.11920000000000641,0,0.043373
791,796,6,6.675700000000006,0,0.043401
816,818,3,0.5363999999999862,0,0.043638
856,856,1,0.1787999999999954,0,0.044017
862,864,3,1.6689000000000078,0,0.044074
874,877,4,3.7550999999999988,0,0.044187
884,884,1,0.1191999999999922,0,0.044282
893,897,5,3.2186999999999983,0,0.044367
914,917,4,3.5759000000000043,0,0.044566
944,944,1,0.11899999999999977,0,0.04485
950,953,4,2.562999999999988,0,0.044907
979,981,3,0.5960000000000036,0,0.045181
1005,1006,2,0.5960000000000036,0,0.045428
1008,1012,5,6.497,0,0.045456
1019,1020,2,0.5960000000000036,0,0.04556
1026,1028,3,1.668999999999997,0,0.045626
1034,1035,2,0.2980000000000018,0,0.045702
1050,1051,2,0.4170000000000016,0,0.045854
1058,1058,1,0.2979999999999876,0,0.045929
1114,1114,1,0.11899999999999977,0,0.04646
1127,1128,2,0.5960000000000036,0,0.046583
1165,1165,1,0.11899999999999977,0,0.046943
1197,1199,3,3.158999999999992,0,0.047246
1204,1206,3,1.0730000000000075,0,0.047312
1222,1226,5,1.6099999999999994,0,0.047482
1269,1269,1,0.11899999999999977,0,0.047927
1275,1275,1,0.11899999999999977,0,0.047984
1278,1279,2,0.7149999999999892,0,0.048013
1305,1307,3,1.967000000000013,0,0.048268
1338,1339,2,0.2980000000000018,0,0.048581
1376,1377,2,0.2980000000000018,0,0.04894
1380,1382,3,0.5360000000000014,0,0.048978
1453,1455,3,1.7279999999999944,0,0.04967
1518,1518,1,0.11899999999999977,0,0.050285
164,164,1,0.1191999999999993,1,0.037464
201,201,1,0.1191999999999993,1,0.037815
467,467,1,0.3576000000000015,1,0.040333
479,483,5,3.337900000000001,1,0.040447
497,498,2,0.5364000000000004,1,0.040618
586,586,1,0.1191999999999993,1,0.04146
590,591,2,1.1921,1,0.041498
632,632,1,0.1191999999999993,1,0.041896
666,668,3,0.8941000000000017,1,0.042218
687,689,3,1.1324000000000005,1,0.042417
697,701,5,4.2318999999999996,1,0.042511
705,707,3,0.8345999999999982,1,0.042587
717,719,3,1.9074000000000026,1,0.042701
775,776,2,0.23840000000000572,1,0.04325
810,812,3,0.6556999999999995,1,0.043581
819,822,4,2.2650000000000006,1,0.043666
852,855,4,3.457099999999997,1,0.043979
859,862,4,5.125999999999998,1,0.044045
898,901,4,1.5496999999999943,1,0.044414
907,909,3,1.5497000000000014,1,0.0445
911,911,1,0.29809999999999803,1,0.044538
913,914,2,0.4767999999999972,1,0.044556
927,927,1,0.1191999999999993,1,0.044689
929,929,1,0.11920000000000641,1,0.044708
956,957,2,0.23850000000000193,1,0.044964
962,965,4,2.086200000000005,1,0.04502
992,992,1,0.1191999999999993,1,0.045305
999,1002,4,6.675700000000006,1,0.045371
1029,1029,1,0.1191999999999993,1,0.045655
1063,1066,4,7.808399999999999,1,0.045977
1074,1074,1,0.1788000000000025,1,0.046081
1083,1085,3,2.861000000000004,1,0.046166
1089,1089,1,0.1191999999999922,1,0.046223
1111,1113,3,2.741799999999998,1,0.046431
1159,1159,1,0.11920000000000641,1,0.046886
1163,1163,1,0.11920000000000641,1,0.046924
1172,1173,2,0.3575999999999908,1,0.047009
1211,1211,1,0.1191999999999922,1,0.047378
1228,1229,2,0.29810000000000514,1,0.047539
1246,1248,3,1.0728000000000009,1,0.04771
1253,1253,1,0.1191999999999922,1,0.047776
1271,1271,1,0.11920000000000641,1,0.047946
1300,1301,2,0.357600000000005,1,0.048221
1317,1317,1,0.1191999999999922,1,0.048382
1336,1336,1,0.11920000000000641,1,0.048562
1348,1349,2,1.1324999999999932,1,0.048675
1371,1374,4,0.8345000000000056,1,0.048893
1435,1435,1,0.11920000000000641,1,0.049499
1444,1446,3,1.0132999999999868,1,0.049584
1452,1452,1,0.11920000000000641,1,0.04966
1500,1500,1,0.11920000000000641,1,0.050115
1521,1521,1,0.11920000000000641,1,0.050313
1532,1532,1,0.11920000000000641,1,0.050418
285,285,1,0.1191999999999993,2,0.03861
329,330,2,0.4768000000000008,2,0.039027
424,425,2,0.2980000000000018,2,0.039926
432,435,4,0.9536999999999978,2,0.040002
483,484,2,0.2980000000000018,2,0.040485
520,521,2,0.5960999999999999,2,0.040835
527,527,1,0.11920000000000286,2,0.040902
558,558,1,0.11930000000000263,2,0.041195
574,574,1,0.2981000000000016,2,0.041347
592,594,3,0.8941000000000017,2,0.041517
636,638,3,0.8941000000000017,2,0.041934
650,652,3,0.3575999999999979,2,0.042066
662,663,2,1.1921,2,0.04218
666,667,2,0.3576000000000015,2,0.042218
689,689,1,0.17879999999999896,2,0.042435
692,698,7,5.781699999999997,2,0.042464
721,723,3,0.5365000000000002,2,0.042738
776,777,2,0.4173000000000009,2,0.043259
783,786,4,1.9669999999999987,2,0.043326
817,820,4,6.020099999999999,2,0.043647
832,832,1,0.1191999999999993,2,0.04379
845,847,3,0.8940999999999946,2,0.043913
854,855,2,0.4172000000000011,2,0.043998
857,858,2,0.715200000000003,2,0.044026
863,865,3,1.9073000000000064,2,0.044083
875,878,4,0.417199999999994,2,0.044197
898,898,1,0.1191999999999993,2,0.044414
905,907,3,0.3575999999999979,2,0.044481
915,918,4,1.2516999999999996,2,0.044575
936,936,1,0.1191999999999993,2,0.044774
944,947,4,1.4900999999999982,2,0.04485
952,956,5,2.6822000000000017,2,0.044926
968,969,2,0.41729999999999734,2,0.045077
984,984,1,0.1191999999999993,2,0.045229
988,988,1,0.1191999999999993,2,0.045267
992,994,3,0.8939999999999984,2,0.045305
1000,1002,3,0.9537000000000049,2,0.04538
1018,1020,3,2.2053999999999974,2,0.045551
1034,1036,3,1.8476999999999961,2,0.045702
1038,1038,1,0.1788000000000025,2,0.04574
1045,1045,1,0.1191999999999993,2,0.045806
1060,1063,4,1.3113000000000028,2,0.045948
1071,1071,1,0.1191999999999993,2,0.046053
