ti,tf,T,S,Archivo,Corriente
152,152,1,0.18440000000000012,0,-0.025901
215,215,1,0.2123999999999988,0,-0.026328
496,505,10,15.487990000000002,0,-0.028233
513,516,4,2.5313600000000003,0,-0.028349
518,519,2,0.6761400000000002,0,-0.028382
521,522,2,0.5457599999999996,0,-0.028403
558,558,1,0.18442000000000025,0,-0.028654
565,567,3,2.03029,0,-0.028701
579,584,6,25.44946,0,-0.028796
617,619,3,1.1845999999999997,0,-0.029054
652,653,2,0.5252999999999979,0,-0.029291
656,656,1,0.21979999999999933,0,-0.029318
658,658,1,0.2571000000000012,0,-0.029332
680,682,3,0.9108000000000018,0,-0.029481
762,763,2,0.7431999999999945,0,-0.030037
792,792,1,0.24399999999999977,0,-0.03024
836,837,2,0.4749999999999943,0,-0.030539
894,896,3,0.9760999999999953,0,-0.030932
64,64,1,0.21039999999999992,1,-0.025304
87,87,1,0.22170000000000023,1,-0.02546
349,349,1,0.25700000000000145,1,-0.027236
410,410,1,0.3521000000000001,1,-0.02765
421,425,5,3.5708,1,-0.027725
470,475,6,8.85693,1,-0.028057
509,509,1,0.21979999999999933,1,-0.028321
540,542,3,2.6281900000000005,1,-0.028532
545,545,1,0.37440000000000007,1,-0.028566
554,558,5,3.12926,1,-0.028627
586,591,6,12.775957,1,-0.028844
593,596,4,4.759099999999998,1,-0.028891
609,610,2,0.7450999999999972,1,-0.029
667,668,2,0.41910000000000025,1,-0.029393
671,677,7,14.014700000000001,1,-0.02942
766,766,1,0.24399999999999977,1,-0.030064
974,975,2,0.5792000000000002,1,-0.031475
291,291,1,0.22723999999999833,2,-0.026843
405,405,1,0.2124000000000006,2,-0.027616
441,441,1,0.21969999999999956,2,-0.02786
457,462,6,11.000857,2,-0.027969
464,466,3,0.9369170000000001,2,-0.028016
555,559,5,5.19494,2,-0.028633
562,568,7,31.676399999999997,2,-0.028681
650,650,1,0.18439999999999657,2,-0.029278
652,652,1,0.26830000000000354,2,-0.029291
656,658,3,1.072899999999997,2,-0.029318
709,711,3,0.724499999999999,2,-0.029678
761,761,1,0.25150000000000006,2,-0.03003
820,820,1,0.2254000000000005,2,-0.03043
845,846,2,0.8214000000000041,2,-0.0306
867,867,1,0.2644999999999982,2,-0.030749
884,885,2,0.5717999999999961,2,-0.030864
948,948,1,0.2589000000000041,2,-0.031298
283,283,1,0.2235100000000001,3,-0.026789
301,302,2,0.5047800000000002,3,-0.026911
435,436,2,0.8325999999999993,3,-0.02782
475,476,2,0.605360000000001,3,-0.028091
491,496,6,15.677969999999998,3,-0.028199
511,512,2,0.6500700000000004,3,-0.028335
518,518,1,0.2514500000000002,3,-0.028382
530,532,3,2.1308700000000007,3,-0.028464
535,535,1,0.2998799999999999,3,-0.028498
540,543,4,2.0618999999999996,3,-0.028532
564,564,1,0.2589000000000006,3,-0.028694
573,578,6,21.9682,3,-0.028755
612,615,4,2.3785999999999987,3,-0.02902
630,630,1,0.23469999999999658,3,-0.029142
638,638,1,0.21799999999999642,3,-0.029196
704,706,3,1.4397999999999982,3,-0.029644
750,750,1,0.20489999999999498,3,-0.029956
758,758,1,0.25330000000000297,3,-0.03001
870,870,1,0.2254000000000005,3,-0.030769
328,328,1,0.32409999999999783,4,-0.027094
391,391,1,0.33340000000000103,4,-0.027521
422,422,1,0.29990000000000094,4,-0.027731
473,476,4,2.825599999999998,4,-0.028077
488,495,8,29.049999999999997,4,-0.028179
497,497,1,0.2532999999999994,4,-0.02824
517,519,3,1.4025999999999996,4,-0.028376
538,538,1,0.2719000000000005,4,-0.028518
579,582,4,2.5146999999999995,4,-0.028796
645,645,1,0.19560000000000244,4,-0.029244
681,682,2,0.5998000000000019,4,-0.029488
693,699,7,10.781099999999999,4,-0.029569
757,757,1,0.2272999999999996,4,-0.030003
777,777,1,0.20299999999999585,4,-0.030139
809,809,1,0.24029999999999774,4,-0.030356
815,815,1,0.29809999999999803,4,-0.030396
826,826,1,0.27009999999999934,4,-0.030471
878,879,2,0.4358999999999966,4,-0.030824
282,283,2,0.46199999999999974,5,-0.026782
308,310,3,0.9481000000000002,5,-0.026958
380,380,1,0.18069999999999808,5,-0.027447
408,409,2,0.8679999999999986,5,-0.027637
451,454,4,1.3782999999999994,5,-0.027928
470,474,5,13.131729999999997,5,-0.028057
592,594,3,1.32807,5,-0.028884
613,617,5,8.929585,5,-0.029027
621,621,1,0.24587000000000003,5,-0.029081
635,638,4,3.00634,5,-0.029176
663,670,8,21.206400000000002,5,-0.029366
739,740,2,0.8289000000000044,5,-0.029881
816,816,1,0.21050000000000324,5,-0.030403
892,893,2,0.6966999999999999,5,-0.030919
901,901,1,0.23089999999999833,5,-0.03098
945,947,3,0.882799999999996,5,-0.031278
337,339,3,0.8457000000000008,6,-0.027155
361,363,3,1.1064000000000007,6,-0.027318
400,404,5,5.083170000000001,6,-0.027582
434,435,2,0.4786999999999999,6,-0.027813
480,483,4,7.512109000000001,6,-0.028125
531,537,7,25.538854,6,-0.028471
540,540,1,0.2887999999999984,6,-0.028532
547,547,1,0.23840000000000217,6,-0.028579
565,567,3,1.8049,6,-0.028701
603,604,2,0.5960000000000001,6,-0.028959
607,607,1,0.2755999999999972,6,-0.028986
645,645,1,0.18250000000000455,6,-0.029244
661,661,1,0.3054000000000059,6,-0.029352
684,691,8,5.6569,6,-0.029508
789,791,3,0.8828999999999994,6,-0.03022
799,799,1,0.2738999999999976,6,-0.030288
828,828,1,0.1880999999999986,6,-0.030485
998,998,1,0.28119999999999834,6,-0.031637
385,385,1,0.359490000000001,7,-0.027481
399,404,6,4.26361,7,-0.027575
418,419,2,0.7189800000000002,7,-0.027704
496,500,5,14.41504,7,-0.028233
527,529,3,1.2386,7,-0.028443
558,563,6,22.1171,7,-0.028654
