DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
85,85,146,146,146,146,146,146,146,146,146,56,52,52,52,52,18,18,18,57,57,57,57,57,57,57,57,57,28,28,28,28,212,61,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,56,56,56,56,56,56,56,56,56,52,18,18,18,18,57,57,57,28,28,28,28,28,28,28,28,28,78,212,212,212,61,144,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,2,2,2,16,16,16,16,16,16,18,57,57,57,57,28,28,28,66,66,66,66,78,78,78,78,78,37,158,137,137,144,51,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,14,14,14,35,35,35,35,35,35,57,6,28,28,28,66,66,66,10,10,10,10,16,16,16,16,16,91,137,61,61,266,234,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,35,35,35,18,18,18,18,18,18,6,21,20,66,66,10,10,10,16,16,16,16,17,17,17,17,17,158,61,119,119,140,212,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,18,18,18,40,40,57,57,57,57,21,20,44,10,10,16,16,16,17,17,17,17,33,33,33,91,91,137,119,375,144,51,34,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,40,40,40,16,16,6,6,6,6,20,44,10,16,16,17,17,17,33,33,33,33,55,55,55,185,185,61,375,216,220,277,84,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,16,16,16,6,6,21,21,21,21,44,10,16,17,17,33,33,33,55,55,55,55,185,185,185,214,214,119,115,144,32,195,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,6,6,6,21,21,20,20,20,20,10,16,17,33,33,55,55,55,14,14,14,14,106,214,214,151,151,375,189,57,266,44,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,21,21,21,20,20,44,44,44,44,16,17,33,26,55,14,14,14,169,169,169,169,214,118,151,4,4,33,24,220,91,234,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,20,20,20,44,44,10,10,10,10,17,33,26,24,14,169,169,169,23,23,23,106,16,30,4,137,137,78,74,78,143,212,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,38,38,38,10,10,16,16,16,16,33,26,24,2,169,5,5,5,79,79,79,146,100,4,137,61,61,158,144,55,140,34,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,6,6,6,16,16,17,17,17,17,26,24,2,7,5,16,16,16,146,146,146,214,30,137,61,17,119,27,57,151,51,136,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,10,10,10,17,17,33,33,33,33,24,2,7,6,16,79,79,79,107,214,214,16,4,61,17,26,375,24,220,32,277,234,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,16,16,16,33,33,26,26,26,26,2,7,6,99,52,146,146,146,96,16,16,100,100,17,26,119,33,74,93,266,179,84,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,17,17,17,26,26,24,24,24,24,7,6,99,69,26,107,107,107,8,100,100,30,34,26,119,375,78,75,144,91,195,128,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,33,33,33,24,24,2,2,2,2,6,99,69,5,146,75,75,96,16,30,30,4,61,119,132,33,158,66,56,143,44,7,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,26,26,26,2,2,7,7,7,7,22,69,5,16,107,19,19,8,100,4,4,100,17,132,239,78,27,57,37,2,234,122,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
